commit	val_loss	objective_val_loss	pitch_val_loss	stability_pitch_range	stability_pitch_delta	stability_pitch_reversals	memory_gb	status	description
9591dcf+dirty	nan	3.669020	nan	nan	nan	0	0.0	discard	baseline_stage1_4096_safe cpu_sandbox
9591dcf+dirty	nan	2.056722	nan	nan	nan	0	0.7	keep	baseline_stage1_4096_safe mps
9591dcf+dirty	nan	1.786716	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t2_l5_sandwich
9591dcf+dirty	nan	1.590306	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t2_l5_sandwich_gate_b010
9591dcf+dirty	nan	1.708305	nan	nan	nan	0	0.4	discard	proxy1024_pretrain_looplm_t2_l5_sandwich_gate_b003
9591dcf+dirty	nan	1.584774	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t2_l5_sandwich_gate_b020
9591dcf+dirty	nan	1.536442	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t2_l5_sandwich_gate_b030
9591dcf+dirty	nan	1.461367	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t2_l5_sandwich_gate_b040
9591dcf+dirty	nan	1.820938	nan	nan	nan	0	0.6	keep	proxy2048_pretrain_looplm_t2_l5_sandwich_gate_b040
9591dcf+dirty	nan	1.355018	nan	nan	nan	0	0.3	keep	proxy1024_pretrain_looplm_t3_l4_sandwich_gate_b040
9591dcf+dirty	nan	1.267330	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b040
9591dcf+dirty	nan	1.116817	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b050
9591dcf+dirty	nan	1.044444	nan	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b060
9591dcf+dirty	1.630625	0.755144	2.289281	nan	nan	0	0.4	discard	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b080
9591dcf+dirty	1.712403	1.652738	2.248694	nan	nan	0	0.4	keep	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b005
9591dcf+dirty	1.737824	1.696976	2.350291	nan	nan	0	0.4	discard	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b000
9591dcf+dirty	1.684362	1.573378	2.324846	nan	nan	0	0.4	discard	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b010
9591dcf+dirty	1.649538	1.646516	2.376698	nan	nan	0	0.4	discard	proxy1024_pretrain_looplm_t3_l4_nosandwich_nogate
9591dcf+dirty	1.719962	1.647659	2.408403	nan	nan	0	0.3	discard	proxy1024_pretrain_looplm_t4_l3_nosandwich_gate_b005
9591dcf+dirty	1.758294	1.701046	2.425884	nan	nan	0	0.4	discard	proxy1024_pretrain_looplm_t3_l5_nosandwich_gate_b005
9591dcf+dirty	1.753182	1.694453	2.407435	nan	nan	0	0.3	discard	proxy1024_pretrain_looplm_t3_l4_sandwich_gate_b005
9591dcf+dirty	1.737708	1.704173	2.403089	nan	nan	0	0.4	discard	proxy1024_pretrain_looplm_t3_l4_nosandwich_gate_b003
